chapter_id,remediation,page_number
129,"For 32 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b32 -S sethostname -S setdomainname -k system-locale 
-w /etc/issue -p wa -k system-locale 
-w /etc/issue.net -p wa -k system-locale 
-w /etc/hosts -p wa -k system-locale 
-w /etc/sysconfig/network -p wa -k system-locale 
 
For 64 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b64 -S sethostname -S setdomainname -k system-locale 
-a always,exit -F arch=b32 -S sethostname -S setdomainname -k system-locale 
-w /etc/issue -p wa -k system-locale 
-w /etc/issue.net -p wa -k system-locale 
-w /etc/hosts -p wa -k system-locale 
-w /etc/sysconfig/network -p wa -k system-locale",207
131,"Add the following lines to the /etc/audit/audit.rules file: 
-w /var/log/faillog -p wa -k logins 
-w /var/log/lastlog -p wa -k logins 
-w /var/log/tallylog -p wa -k logins",211
132,"Add the following lines to the /etc/audit/audit.rules file: 
-w /var/run/utmp -p wa -k session 
-w /var/log/wtmp -p wa -k logins 
-w /var/log/btmp -p wa -k logins",214
132,"For 32 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b32 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F 
auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b32 -S chown -S fchown -S fchownat -S lchown -F 
auid>=1000 -F auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b32 -S setxattr -S lsetxattr -S fsetxattr -S 
removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 
-k perm_mod 
 
For 64 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b64 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F 
auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b32 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F 
auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b64 -S chown -S fchown -S fchownat -S lchown -F 
auid>=1000 -F auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b32 -S chown -S fchown -S fchownat -S lchown -F 
auid>=1000 -F auid!=4294967295 -k perm_mod 
-a always,exit -F arch=b64 -S setxattr -S lsetxattr -S fsetxattr -S 
removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 
-k perm_mod 
-a always,exit -F arch=b32 -S setxattr -S lsetxattr -S fsetxattr -S 
removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 
-k perm_mod",216
132,"For 32 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access 
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access 
 
For 64 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b64 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access 
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access 
-a always,exit -F arch=b64 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access 
-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S 
ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access",219
132,"To remediate this issue, the system administrator will have to execute a find command to 
locate all the privileged programs and then add an audit line for each one of them. The 
audit parameters associated with this are as follows: 
-F path="" $1 "" - will populate each file name found through the find command and 
processed by awk. -F perm=x - will write an audit record if the file is executed. -F 
auid>=1000 - will write a record if the user executing the command is not a privileged user. 
-F auid!= 4294967295 - will ignore Daemon events 
All audit records should be tagged with the identifier ""privileged"". 
Run the following command replacing with a list of partitions where programs can be 
executed from on your system:",220
133,"For 32 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b32 -S mount -F auid>=1000 -F auid!=4294967295 -k 
mounts 
 
For 64 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b64 -S mount -F auid>=1000 -F auid!=4294967295 -k 
mounts 
-a always,exit -F arch=b32 -S mount -F auid>=1000 -F auid!=4294967295 -k 
mounts",223
133,"For 32 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b32 -S unlink -S unlinkat -S rename -S renameat -F 
auid>=1000 -F auid!=4294967295 -k delete 
 
For 64 bit systems add the following lines to the /etc/audit/audit.rules file: 
-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F 
auid>=1000 -F auid!=4294967295 -k delete 
-a always,exit -F arch=b32 -S unlink -S unlinkat -S rename -S renameat -F 
auid>=1000 -F auid!=4294967295 -k delete",225
133,"Add the following line to the /etc/audit/audit.rules file: 
-w /etc/sudoers -p wa -k scope 
-w /etc/sudoers.d/ -p wa -k scope",226
133,"Add the following lines to the /etc/audit/audit.rules file: 
-w /var/log/sudo.log -p wa -k actions",228
135,"For 32 bit systems add the following lines to the /etc/audit/audit.rules file: 
-w /sbin/insmod -p x -k modules 
-w /sbin/rmmod -p x -k modules 
-w /sbin/modprobe -p x -k modules 
-a always,exit -F arch=b32 -S init_module -S delete_module -k modules 
 
For 64 bit systems add the following lines to the /etc/audit/audit.rules file: 
-w /sbin/insmod -p x -k modules 
-w /sbin/rmmod -p x -k modules 
-w /sbin/modprobe -p x -k modules 
-a always,exit -F arch=b64 -S init_module -S delete_module -k modules",231
136,"Add the following line to the end of the /etc/audit/audit.rules file. 
-e 2",232
138,"Set the proper start conditions in /etc/init/rsyslog.conf: 
start on filesystem 
 
CIS Controls: 
6.2 Ensure Audit Log Settings Support Appropriate Log Entry Formatting 
Validate audit log settings for each hardware device and the software installed on it,",234
139,"Edit the following lines in the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files as 
appropriate for your environment: 
*.emerg                                  :omusrmsg:* 
mail.*                                  -/var/log/mail 
mail.info                               -/var/log/mail.info 
mail.warning                            -/var/log/mail.warn 
mail.err                                 /var/log/mail.err 
news.crit                               -/var/log/news/news.crit 
news.err                                -/var/log/news/news.err 
news.notice                             -/var/log/news/news.notice 
*.=warning;*.=err                       -/var/log/warn 
*.crit                                   /var/log/warn 
*.*;mail.none;news.none                 -/var/log/messages 
local0,local1.*                         -/var/log/localmessages 
local2,local3.*                         -/var/log/localmessages 
local4,local5.*                         -/var/log/localmessages 
local6,local7.*                         -/var/log/localmessages",236
140,"Edit the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and set $FileCreateMode to 
0640 or more restrictive: 
$FileCreateMode 0640",238
140,"Edit the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and add the following line 
(where loghost.example.com is the name of your central log host). 
*.* @@loghost.example.com 
 
Run the following command to reload the rsyslogd configuration: 
# pkill -HUP rsyslogd",240
140,"For hosts that are designated as log hosts, edit the /etc/rsyslog.conf file and un-
comment or add the following lines: 
$ModLoad imtcp 
$InputTCPServerRun 514 
 
For hosts that are not designated as log hosts, edit the /etc/rsyslog.conf file and 
comment or remove the following lines:",242
142,"Run the following command to enable syslog-ng: 
# update-rc.d syslog-ng enable 
 
CIS Controls:",244
143,"Edit the log lines in the /etc/syslog-ng/syslog-ng.conf file as appropriate for your 
environment: 
log { source(src); source(chroots); filter(f_console); destination(console); 
}; 
log { source(src); source(chroots); filter(f_console); destination(xconsole); 
}; 
log { source(src); source(chroots); filter(f_newscrit); 
destination(newscrit); }; 
log { source(src); source(chroots); filter(f_newserr); destination(newserr); 
}; 
log { source(src); source(chroots); filter(f_newsnotice); 
destination(newsnotice); }; 
log { source(src); source(chroots); filter(f_mailinfo); 
destination(mailinfo); }; 
log { source(src); source(chroots); filter(f_mailwarn); 
destination(mailwarn); }; 
log { source(src); source(chroots); filter(f_mailerr);  destination(mailerr); 
};",246
144,"Edit the /etc/syslog-ng/syslog-ng.conf and set perm option to 0640 or more restrictive: 
options { chain_hostnames(off); flush_lines(0); perm(0640); stats_freq(3600); 
threaded(yes); };",248
144,"Edit the /etc/syslog-ng/syslog-ng.conf file and add the following lines (where 
logfile.example.com is the name of your central log host). 
destination logserver { tcp(""logfile.example.com"" port(514)); }; 
log { source(src); destination(logserver); }; 
 
Run the following command to reload the syslog-ng configuration: 
# pkill -HUP syslog-ng",249
144,"On designated log hosts edit the /etc/syslog-ng/syslog-ng.conf file and configure the 
following lines are appropriately: 
source net{ tcp(); }; 
destination remote { file(""/var/log/remote/${FULLHOST}-log""); }; 
log { source(net); destination(remote); }; 
 
On non designated log hosts edit the /etc/syslog-ng/syslog-ng.conf file and remove or 
edit any sources that accept network sourced log messages. 
Run the following command to reload the syslog-ng configuration: 
# pkill -HUP syslog-ng",251
145,"Install rsyslog or syslog-ng using one of the following commands: 
# apt-get install rsyslog 
# apt-get install syslog-ng 
 
CIS Controls: 
6.2 Ensure Audit Log Settings Support Appropriate Log Entry Formatting 
Validate audit log settings for each hardware device and the software installed on it, 
ensuring that logs include a date, timestamp, source addresses, destination addresses, and 
various other useful elements of each packet and/or transaction. Systems should record 
logs in a standardized format such as syslog entries or those outlined by the Common Event",253
146,"Run the following command to set permissions on all existing log files: 
# chmod -R g-wx,o-rwx /var/log/*",255
147,"Edit /etc/logrotate.conf and /etc/logrotate.d/* to ensure logs are rotated according 
to site policy.",256
149,"Edit start lines in /etc/init/cron.confto match the following: 
start on runlevel [2345] 
 
CIS Controls: 
6 Maintenance, Monitoring, and Analysis of Audit Logs 
Maintenance, Monitoring, and Analysis of Audit Logs",258
150,"Run the following commands to set ownership and permissions on /etc/crontab: 
# chown root:root /etc/crontab 
# chmod og-rwx /etc/crontab 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",259
150,"Run the following commands to set ownership and permissions on /etc/cron.hourly : 
# chown root:root /etc/cron.hourly 
# chmod og-rwx /etc/cron.hourly 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are",260
151,"Run the following commands to set ownership and permissions on /etc/cron.daily : 
# chown root:root /etc/cron.daily 
# chmod og-rwx /etc/cron.daily 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are",262
152,"Run the following commands to set ownership and permissions on /etc/cron.weekly : 
# chown root:root /etc/cron.weekly 
# chmod og-rwx /etc/cron.weekly 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are",264
153,"Run the following commands to set ownership and permissions on /etc/cron.monthly : 
# chown root:root /etc/cron.monthly 
# chmod og-rwx /etc/cron.monthly 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are",266
154,"Run the following commands to set ownership and permissions on /etc/cron.d : 
# chown root:root /etc/cron.d 
# chmod og-rwx /etc/cron.d 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are",268
156,"Run the following commands to set ownership and permissions on /etc/ssh/sshd_config: 
# chown root:root /etc/ssh/sshd_config 
# chmod og-rwx /etc/ssh/sshd_config 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",273
158,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
Protocol 2 
 
CIS Controls: 
3.4 Use Only Secure Channels For Remote System Administration 
Perform all remote administration of servers, workstation, network devices, and similar 
equipment over secure channels. Protocols such as telnet, VNC, RDP, or others that do not 
actively support strong encryption should only be used if they are performed over a 
secondary encryption channel, such as SSL, TLS or IPSEC.",274
159,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
LogLevel INFO 
 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",275
160,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
X11Forwarding no",276
161,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
MaxAuthTries 4 
 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",277
162,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
IgnoreRhosts yes 
 
CIS Controls: 
9 Limitation and Control of Network Ports, Protocols, and Services 
Limitation and Control of Network Ports, Protocols, and Services",278
163,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
HostbasedAuthentication no 
 
CIS Controls: 
9 Limitation and Control of Network Ports, Protocols, and Services 
Limitation and Control of Network Ports, Protocols, and Services",279
164,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
PermitRootLogin no 
 
CIS Controls: 
5.8 Administrators Should Not Directly Log In To A System (i.e. use RunAs/sudo) 
Administrators should be required to access a system using a fully logged and non-
administrative account. Then, once logged on to the machine without administrative 
privileges, the administrator should transition to administrative privileges using tools such 
as Sudo on Linux/UNIX, RunAs on Windows, and other similar facilities for other types of 
systems.",280
165,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
PermitEmptyPasswords no 
 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",281
166,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
PermitUserEnvironment no 
 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",282
167,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-
etm@openssh.com,hmac-sha2-512,hmac-sha2-256,umac-128@openssh.com",283
168,Edit the /etc/ssh/sshd_config file to set the parameters according to site policy:,285
168,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
LoginGraceTime 60",287
169,"Edit the /etc/ssh/sshd_config file to set one or more of the parameter as follows: 
AllowUsers <userlist> 
AllowGroups <grouplist> 
DenyUsers <userlist> 
DenyGroups <grouplist> 
 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior. 
5.8 Administrators Should Not Directly Log In To A System (i.e. use RunAs/sudo) 
Administrators should be required to access a system using a fully logged and non-
administrative account. Then, once logged on to the machine without administrative 
privileges, the administrator should transition to administrative privileges using tools such 
as Sudo on Linux/UNIX, RunAs on Windows, and other similar facilities for other types of 
systems.",289
170,"Edit the /etc/ssh/sshd_config file to set the parameter as follows: 
Banner /etc/issue.net",290
172,"Run the following command to install the pam_pwquality module: 
apt-get install libpam-pwquality 
 
Edit the /etc/pam.d/common-password file to include the appropriate options for 
pam_pwquality.so and to conform to site policy: 
password requisite pam_pwquality.so retry=3 
 
Edit /etc/security/pwquality.conf to add or update the following settings to conform to 
site policy: 
minlen = 14 
dcredit = -1 
ucredit = -1 
ocredit = -1 
lcredit = -1",292
172,"Edit the /etc/pam.d/common-auth file and add the auth line below: 
auth required pam_tally2.so onerr=fail audit silent deny=5 unlock_time=900",294
172,"Edit the /etc/pam.d/common-password file to include the remember option and conform to 
site policy as shown: 
password required pam_pwhistory.so remember=5",296
173,"Edit the /etc/pam.d/common-password file to include the sha512 option for pam_unix.so as 
shown: 
password [success=1 default=ignore] pam_unix.so sha512",297
175,"Set the PASS_MAX_DAYS parameter to conform to site policy in /etc/login.defs : 
PASS_MAX_DAYS 90 
 
Modify user parameters for all users with a password set to match: 
# chage --maxdays 90 <user>",300
175,"Set the PASS_MIN_DAYS parameter to 7 in /etc/login.defs : 
PASS_MIN_DAYS 7 
 
Modify user parameters for all users with a password set to match:",301
176,"Set the PASS_WARN_AGE parameter to 7 in /etc/login.defs: 
PASS_WARN_AGE 7 
 
Modify user parameters for all users with a password set to match: 
# chage --warndays 7 <user>",303
177,"Run the following command to set the default password inactivity period to 30 days: 
# useradd -D -f 30 
 
Modify user parameters for all users with a password set to match: 
# chage --inactive 30 <user>",305
178,"Investigate any users with a password change date in the future and correct them. Locking 
the account, expiring the password, or resetting the password manually may be 
appropriate.",307
179,"Set the shell for any accounts returned by the audit script to /usr/sbin/nologin: 
# usermod -s /usr/sbin/nologin <user> 
 
The following script will automatically set all user shells required to /usr/sbin/nologin 
and lock the sync, shutdown, and halt users: 
#!/bin/bash 
 
for user in `awk -F: '($3 < 1000) {print $1 }' /etc/passwd`; do 
  if [ $user != ""root"" ]; then 
    usermod -L $user 
    if [ $user != ""sync"" ] && [ $user != ""shutdown"" ] && [ $user != ""halt"" ]; 
then 
      usermod -s /usr/sbin/nologin $user",308
180,"Run the following command to set the root user default group to GID 0: 
# usermod -g 0 root 
 
CIS Controls: 
5 Controlled Use of Administration Privileges 
Controlled Use of Administration Privileges",310
181,"Edit the /etc/bash.bashrc, /etc/profile and /etc/profile.d/*.sh files (and the 
appropriate files for any other shell supported on your system) and add or edit any umask 
parameters as follows: 
umask 027",311
182,"Edit the /etc/bashrc and /etc/profile files (and the appropriate files for any other shell 
supported on your system) and add or edit any umask parameters as follows: 
TMOUT=600",313
182,"Remove entries for any consoles that are not in a physically secure location. 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",315
183,"Add the following line to the /etc/pam.d/su file: 
auth required pam_wheel.so 
 
Create a comma separated list of users in the wheel statement in the /etc/group file: 
wheel:x:10:root,<user list>",316
185,"Correct any discrepancies found and rerun the audit until output is clean or risk is 
mitigated or accepted.",319
186,"Run the following command to set permissions on /etc/passwd: 
# chown root:root /etc/passwd 
# chmod 644 /etc/passwd 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",320
187,"Run the one following commands to set permissions on /etc/shadow: 
# chown root:shadow /etc/shadow 
# chmod o-rwx,g-wx /etc/shadow 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",321
188,"Run the following command to set permissions on /etc/group: 
# chown root:root /etc/group 
# chmod 644 /etc/group 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",322
189,"Run the following commands to set permissions on /etc/gshadow: 
# chown root:shadow /etc/gshadow 
# chmod o-rwx,g-rw /etc/gshadow 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",323
190,"Run the following command to set permissions on /etc/passwd- : 
# chown root:root /etc/passwd- 
# chmod u-x,go-wx /etc/passwd- 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",324
191,"Run the one of the following chown commands as appropriate and the chmod to set 
permissions on /etc/shadow- : 
# chown root:root /etc/shadow- 
# chown root:shadow /etc/shadow- 
 
# chmod o-rwx,g-rw /etc/shadow- 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",325
192,"Run the following command to set permissions on /etc/group- : 
# chown root:root /etc/group- 
# chmod u-x,go-wx /etc/group- 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",326
193,"Run the one of the following chown commands as appropriate and the chmod to set 
permissions on /etc/gshadow- : 
# chown root:root /etc/gshadow- 
# chown root:shadow /etc/gshadow- 
 
# chmod o-rwx,g-rw /etc/gshadow- 
 
CIS Controls: 
16.14 Encrypt/Hash All Authentication Files And Monitor Their Access 
Verify that all authentication files are encrypted or hashed and that these files cannot be 
accessed without root or administrator privileges. Audit all access to password files in the 
system.",327
194,"Removing write access for the ""other"" category (chmod o-w <filename>) is advisable, but 
always consult relevant vendor documentation to avoid breaking any application 
dependencies on a given file. 
CIS Controls: 
14 Controlled Access Based on the Need to Know 
Controlled Access Based on the Need to Know",328
195,"Locate files that are owned by users or groups not listed in the system configuration files, 
and reset the ownership of these files to some active user on the system as appropriate. 
CIS Controls: 
14 Controlled Access Based on the Need to Know 
Controlled Access Based on the Need to Know",329
196,"Locate files that are owned by users or groups not listed in the system configuration files, 
and reset the ownership of these files to some active user on the system as appropriate. 
CIS Controls: 
14 Controlled Access Based on the Need to Know 
Controlled Access Based on the Need to Know",330
197,"Ensure that no rogue SUID programs have been introduced into the system. Review the 
files returned by the action in the Audit section and confirm the integrity of these binaries. 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are",331
198,"Ensure that no rogue SGID programs have been introduced into the system. Review the 
files returned by the action in the Audit section and confirm the integrity of these binaries. 
CIS Controls:",333
200,"If any accounts in the /etc/shadow file do not have a password, run the following command 
to lock the account until it can be determined why it does not have a password: 
# passwd -l <username> 
 
Also, check to see if the account is logged in and investigate what it is being used for to 
determine if it needs to be forced off. 
CIS Controls:",335
201,"Remove any legacy '+' entries from /etc/passwd if they exist. 
CIS Controls: 
16.9 Configure Account Access Centrally 
Configure access for all accounts through a centralized point of authentication, for example 
Active Directory or LDAP. Configure network and security devices for centralized 
authentication as well.",337
202,"Remove any legacy '+' entries from /etc/shadow if they exist. 
CIS Controls: 
16.9 Configure Account Access Centrally 
Configure access for all accounts through a centralized point of authentication, for example 
Active Directory or LDAP. Configure network and security devices for centralized 
authentication as well.",338
203,"Remove any legacy '+' entries from /etc/group if they exist. 
CIS Controls: 
16.9 Configure Account Access Centrally 
Configure access for all accounts through a centralized point of authentication, for example 
Active Directory or LDAP. Configure network and security devices for centralized 
authentication as well.",339
204,"Remove any users other than root with UID 0 or assign them a new UID if appropriate. 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",340
205,"Correct or justify any items discovered in the Audit step. 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",342
206,"If any users' home directories do not exist, create them and make sure the respective user 
owns the directory. Users without an assigned home directory should be removed or 
assigned a home directory as appropriate.",343
206,"Making global modifications to user home directories without alerting the user community 
can result in unexpected outages and unhappy users. Therefore, it is recommended that a 
monitoring policy be established to report user file permissions and determine the action 
to be taken in accordance with site policy.",345
207,"Change the ownership of any home directories that are not owned by the defined user to 
the correct user. 
CIS Controls: 
14.4 Protect Information With Access Control Lists 
All information stored on systems shall be protected with file system, network share, 
claims, application, or database specific access control lists. These controls will enforce the",346
208,"Making global modifications to users' files without alerting the user community can result 
in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring",348
209,"Making global modifications to users' files without alerting the user community can result 
in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring 
policy be established to report user .forward files and determine the action to be taken in 
accordance with site policy. 
CIS Controls:",350
210,"Making global modifications to users' files without alerting the user community can result 
in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring 
policy be established to report user .netrc files and determine the action to be taken in 
accordance with site policy. 
CIS Controls:",352
210,"Making global modifications to users' files without alerting the user community can result 
in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring 
policy be established to report user .netrc file permissions and determine the action to be 
taken in accordance with site policy.",355
212,"Making global modifications to users' files without alerting the user community can result 
in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring 
policy be established to report user .rhosts files and determine the action to be taken in 
accordance with site policy.",356
213,"Analyze the output of the Audit step above and perform the appropriate action to correct 
any discrepancies found. 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",358
214,"Based on the results of the audit script, establish unique UIDs and review all files owned by 
the shared UIDs to determine which UID they are supposed to belong to. 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",359
215,"Based on the results of the audit script, establish unique GIDs and review all files owned by 
the shared GID to determine which group they are supposed to belong to.",360
216,"Based on the results of the audit script, establish unique user names for the users. File 
ownerships will automatically reflect the change as long as the users have unique UIDs. 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",362
217,"Based on the results of the audit script, establish unique names for the user groups. File 
group ownerships will automatically reflect the change as long as the groups have unique 
GIDs. 
CIS Controls: 
16 Account Monitoring and Control 
Account Monitoring and Control",363
218,"Remove all users from the shadow group, and change the primary group of any users with 
shadow as their primary group. 
CIS Controls: 
5.1 Minimize And Sparingly Use Administrative Privileges 
Minimize administrative privileges and only use administrative accounts when they are 
required. Implement focused auditing on the use of administrative privileged functions and 
monitor for anomalous behavior.",364
